title,department
ADM 4752 Gestion financière avancée (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 4754 Gestion financière internationale (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
"ADM 4755 Finances, éthique et responsabilité sociale (3 crédits)",https://catalogue.uottawa.ca/en/courses/adm/
ADM 4756 Les placements alternatifs et la gestion du risque (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 4757 Module appliquée d'analyse des investissements II (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 4758 Fusions et Acquisitions (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 4763 L’optimisation pour l’analytique de gestion (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 4777 Systèmes et stratégies de l'entreprise numérique (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 4778 Réseaux de communication d'affaires (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 4779 Gestion et mise en place des technologies web dans les organisations (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 4797 Séminaire en administration (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 4901 Stage coop / Co-op Work Term (3 crédits / 3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 4902 Stage coop / Co-op Work Term (3 crédits / 3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 4903 Stage sur la création d'une entreprise / New Venture Creation in Practicum (3 crédits / 3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 4904 Connexions I / Connexions I (3 crédits / 3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 4905 Connexions II / Connexions II (3 crédits / 3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 4907 Projet en conseil de gestion / Management Consulting Project (3 crédits / 3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 4964 L’application de l’analytique de gestion / Application of Business Analytics (3 crédits / 3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 4994 Préparation et participation à la compétition de cas d'affaires II / Preparation and Participation to business Cases II (3 crédits / 3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 4998 Lectures dirigées en gestion I / Directed Readings in Management I (3 crédits / 3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 4999 Lectures dirigées en gestion II / Directed Readings in Management II (3 crédits / 3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 5102 Labour Management Relation (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 5300 Data Analysis (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 5310 Public Sector and Business (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 5320 Marketing (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 5330 Organizational Behavior (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 5331 Human Resource Management (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 5341 Financial Accounting (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 5342 Managerial Accounting (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 5350 Principles of Finance (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 5351 Managerial Microeconomics (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 5352 Managerial Macroeconomics (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 5360 Strategic Management and Policy I (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 5361 Strategic Management and Policy II (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 5370 Information Management (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 5380 Decision Models for Operations Management (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 5502 Relations de travail (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 5700 Analyse des données (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 5710 Le secteur public et le monde des affaires (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 5720 Marketing (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 5730 Comportement au sein de l'organisation (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 5731 Gestion des ressources humaines (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 5741 Comptabilité financière (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 5742 Comptabilité de gestion (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 5750 Principes de finance (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 5751 Microéconomie de la gestion (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 5752 Macroéconomie de la gestion (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 5760 Stratégie et politique de la gestion I (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 5761 Stratégie et politique de la gestion II (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 5770 Gestion de l'information (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 5780 Modèles de décision en gestion des opérations (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 6001 CO-OP WORK TERM (6 crédits / 6 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 6002 CO-OP WORK TERM (6 crédits / 6 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 6099 Stage / Internship (6 crédits / 6 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 6110 Function. and Organization Government (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 6117 Manpower Resource Development (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 6141 Seminar Public Systems I Transport (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 6190 Directed Studies Public Policy and Management (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 6228 Global Marketing (1.5 unit),https://catalogue.uottawa.ca/en/courses/adm/
ADM 6229 Export Marketing (1.5 unit),https://catalogue.uottawa.ca/en/courses/adm/
ADM 6245 Analysis of International Financial Information (1.5 unit),https://catalogue.uottawa.ca/en/courses/adm/
ADM 6250 Applied Corporate Finance I (1.5 unit),https://catalogue.uottawa.ca/en/courses/adm/
ADM 6251 Applied Corporate Finance II (1.5 unit),https://catalogue.uottawa.ca/en/courses/adm/
ADM 6252 Investments: Equity Instruments (1.5 unit),https://catalogue.uottawa.ca/en/courses/adm/
ADM 6253 Investments: Fixed-Income Instruments (1.5 unit),https://catalogue.uottawa.ca/en/courses/adm/
ADM 6254 Futures and Options (1.5 unit),https://catalogue.uottawa.ca/en/courses/adm/
ADM 6255 Real Asset Valuation (1.5 unit),https://catalogue.uottawa.ca/en/courses/adm/
ADM 6256 Option Pricing (1.5 unit),https://catalogue.uottawa.ca/en/courses/adm/
ADM 6257 Advanced Derivatives (1.5 unit),https://catalogue.uottawa.ca/en/courses/adm/
ADM 6258 International Financial Markets (1.5 unit),https://catalogue.uottawa.ca/en/courses/adm/
ADM 6259 International Corporate Finance (1.5 unit),https://catalogue.uottawa.ca/en/courses/adm/
ADM 6260 Project Management I (1.5 unit),https://catalogue.uottawa.ca/en/courses/adm/
ADM 6261 Project Management II (1.5 unit),https://catalogue.uottawa.ca/en/courses/adm/
ADM 6262 Technology in the National and International Environments (1.5 unit),https://catalogue.uottawa.ca/en/courses/adm/
ADM 6263 Technology Adaptation and Innovation in a Corporate Environment (1.5 unit),https://catalogue.uottawa.ca/en/courses/adm/
ADM 6264 Technology R and D (1.5 unit),https://catalogue.uottawa.ca/en/courses/adm/
ADM 6266 Multinational Management I (1.5 unit),https://catalogue.uottawa.ca/en/courses/adm/
ADM 6267 Multinational Management II (1.5 unit),https://catalogue.uottawa.ca/en/courses/adm/
ADM 6268 Comparative Management I (1.5 unit),https://catalogue.uottawa.ca/en/courses/adm/
ADM 6269 Comparative Management II (1.5 unit),https://catalogue.uottawa.ca/en/courses/adm/
ADM 6274 International E-Business Strategies (1.5 unit),https://catalogue.uottawa.ca/en/courses/adm/
ADM 6275 Big Data Analytics (1.5 unit),https://catalogue.uottawa.ca/en/courses/adm/
ADM 6276 Enterprise Resource Planning Systems Management (1.5 unit),https://catalogue.uottawa.ca/en/courses/adm/
ADM 6277 E-Business Energy Management (1.5 unit),https://catalogue.uottawa.ca/en/courses/adm/
ADM 6279 Socio-Technical Change (1.5 unit),https://catalogue.uottawa.ca/en/courses/adm/
ADM 6280 Current Practices in Operations Management (1.5 unit),https://catalogue.uottawa.ca/en/courses/adm/
ADM 6282 Introduction to Quality Management (1.5 unit),https://catalogue.uottawa.ca/en/courses/adm/
ADM 6284 Managing Technological Risk (1.5 unit),https://catalogue.uottawa.ca/en/courses/adm/
